gRNA	gene	S1	S2	S3
ACMSD_+_135596183.23-P1P2|ACMSD_-_135596200.23-P1P2	ACMSD	   nan	   nan	   nan
ACN9_+_96747061.23-P1P2|ACN9_-_96747046.23-P1P2	ACN9	   nan	   nan	   nan
ACO1_+_32384680.23-P1P2|ACO1_-_32384733.23-P1P2	ACO1	   nan	   nan	   nan
ACO2_+_41865228.23-P1P2|ACO2_+_41865345.23-P1P2	ACO2	   nan	   nan	   nan
ACOT11_+_55007963.23-P2|ACOT11_-_55008004.23-P2	ACOT11	   nan	   nan	   nan
ACOT11_-_55013950.23-P1|ACOT11_-_55013905.23-P1	ACOT11	   nan	   nan	   nan
ACOT12_-_80689897.23-P1P2|ACOT12_+_80689672.23-P1P2	ACOT12	   nan	   nan	   nan
ACOT13_-_24667371.23-P1P2|ACOT13_-_24667329.23-P1P2	ACOT13	   nan	   nan	   nan
ACOT1_-_74004062.23-P1P2|ACOT1_-_74004076.23-P1P2	ACOT1	   nan	   nan	   nan
ACOT2_+_74035740.23-P1P2|ACOT2_-_74036051.23-P1P2	ACOT2	   nan	   nan	   nan
ACOT4_+_74058647.23-P1P2|ACOT4_+_74058635.23-P1P2	ACOT4	   nan	   nan	   nan
ACOT6_+_74077704.23-P1P2|ACOT6_+_74077926.23-P1P2	ACOT6	   nan	   nan	   nan
ACOT7_-_6453406.23-P1P2|ACOT7_-_6453369.23-P1P2	ACOT7	   nan	   nan	   nan
ACOT8_-_44486001.23-P1P2|ACOT8_-_44485992.23-P1P2	ACOT8	   nan	   nan	   nan
ACOT9_+_23761360.23-P1P2|ACOT9_-_23761316.23-P1P2	ACOT9	   nan	   nan	   nan
ACOX1_-_73975196.23-P1P2|ACOX1_-_73975193.23-P1P2	ACOX1	   nan	   nan	   nan
ACOX2_+_58512428.23-P2|ACOX2_-_58512435.23-P2	ACOX2	   nan	   nan	   nan
ACOX2_+_58522893.23-P1|ACOX2_+_58522888.23-P1	ACOX2	   nan	   nan	   nan
ACOX3_+_8430113.23-P1|ACOX3_-_8430129.23-P1	ACOX3	   nan	   nan	   nan
ACOX3_-_8442435.23-P2|ACOX3_+_8442383.23-P2	ACOX3	   nan	   nan	   nan
ACOXL_+_111490271.23-P1P2|ACOXL_+_111490261.23-P1P2	ACOXL	   nan	   nan	   nan
ACP1_-_264970.23-P1P2|ACP1_-_264967.23-P1P2	ACP1	   nan	   nan	   nan
ACP2_+_47270332.23-P1P2|ACP2_+_47270309.23-P1P2	ACP2	   nan	   nan	   nan
ACP5_-_11688064.23-P1|ACP5_-_11688455.23-P1	ACP5	   nan	   nan	   nan
ACP5_-_11689771.23-P2|ACP5_-_11689727.23-P2	ACP5	   nan	   nan	   nan
ACP6_-_147142356.23-P1P2|ACP6_-_147142348.23-P1P2	ACP6	   nan	   nan	   nan
ACPL2_-_140950647.23-P1P2|ACPL2_+_140950963.23-P1P2	ACPL2	   nan	   nan	   nan
ACPP_+_132036293.23-P1P2|ACPP_+_132036344.23-P1P2	ACPP	   nan	   nan	   nan
ACPT_+_51293697.23-ENST00000270593.1|ACPT_+_51293762.23-ENST00000270593.1	ACPT	   nan	   nan	   nan
ACRBP_+_6756569.23-P1P2|ACRBP_+_6756572.23-P1P2	ACRBP	   nan	   nan	   nan
ACRC_-_70798376.23-P1P2|ACRC_-_70798359.23-P1P2	ACRC	   nan	   nan	   nan
ACRV1_+_125550697.23-P1P2|ACRV1_-_125550695.23-P1P2	ACRV1	   nan	   nan	   nan
ACR_-_51176666.23-P1P2|ACR_-_51176714.23-P1P2	ACR	   nan	   nan	   nan
ACSBG1_+_78526846.23-P1P2|ACSBG1_-_78526810.23-P1P2	ACSBG1	   nan	   nan	   nan
ACSBG2_-_6135704.23-P1P2|ACSBG2_-_6135684.23-P1P2	ACSBG2	   nan	   nan	   nan
ACSF2_-_48503625.23-P1P2|ACSF2_-_48503778.23-P1P2	ACSF2	   nan	   nan	   nan
ACSF3_+_89160267.23-P1P2|ACSF3_-_89160263.23-P1P2	ACSF3	   nan	   nan	   nan
ACSL1_+_185747071.23-P1P2|ACSL1_+_185747074.23-P1P2	ACSL1	   nan	   nan	   nan
ACSL3_-_223726162.23-P1P2|ACSL3_-_223725828.23-P1P2	ACSL3	   nan	   nan	   nan
ACSL4_-_108976106.23-P1P2|ACSL4_-_108976456.23-P1P2	ACSL4	   nan	   nan	   nan
ACSL5_-_114133956.23-P2|ACSL5_-_114133923.23-P2	ACSL5	   nan	   nan	   nan
ACSL5_-_114136040.23-P1|ACSL5_-_114136013.23-P1	ACSL5	   nan	   nan	   nan
ACSL6_-_131310682.23-P2|ACSL6_+_131310427.23-P2	ACSL6	   nan	   nan	   nan
ACSL6_-_131347437.23-P1|ACSL6_-_131347379.23-P1	ACSL6	   nan	   nan	   nan
ACSM1_-_20687076.23-P1P2|ACSM1_-_20687521.23-P1P2	ACSM1	   nan	   nan	   nan
ACSM2A_-_20463283.23-P1P2|ACSM2A_-_20462920.23-P1P2	ACSM2A	   nan	   nan	   nan
ACSM2B_+_20587573.23-P1P2|ACSM2B_-_20587615.23-P1P2	ACSM2B	   nan	   nan	   nan
ACSM3_+_20775331.23-P1P2|ACSM3_+_20775412.23-P1P2	ACSM3	   nan	   nan	   nan
ACSM4_-_7456922.23-ENST00000399422.4|ACSM4_+_7456915.23-ENST00000399422.4	ACSM4	   nan	   nan	   nan
ACSM5_-_20421144.23-P1P2|ACSM5_-_20420881.23-P1P2	ACSM5	   nan	   nan	   nan
ACSS1_+_25038767.23-P1P2|ACSS1_+_25038734.23-P1P2	ACSS1	   nan	   nan	   nan
ACSS2_-_33464845.23-P1P2|ACSS2_-_33464420.23-P1P2	ACSS2	   nan	   nan	   nan
ACSS3_-_81471913.23-P1P2|ACSS3_-_81471886.23-P1P2	ACSS3	   nan	   nan	   nan
ACTA1_+_229569796.23-P1|ACTA1_+_229569744.23-P1	ACTA1	   nan	   nan	   nan
ACTA1_-_229568745.23-P2|ACTA1_-_229568723.23-P2	ACTA1	   nan	   nan	   nan
ACTA2_+_90751072.23-P2|ACTA2_-_90751066.23-P2	ACTA2	   nan	   nan	   nan
ACTA2_-_90712506.23-P1|ACTA2_+_90712479.23-P1	ACTA2	   nan	   nan	   nan
ACTBL2_-_56778433.23-P1P2|ACTBL2_-_56778438.23-P1P2	ACTBL2	   nan	   nan	   nan
ACTB_-_5570191.23-P1P2|ACTB_+_5570130.23-P1P2	ACTB	   nan	   nan	   nan
ACTC1_-_35087711.23-P1P2|ACTC1_-_35087685.23-P1P2	ACTC1	   nan	   nan	   nan
ACTG1_-_79479788.23-P1P2|ACTG1_-_79479780.23-P1P2	ACTG1	   nan	   nan	   nan
ACTG2_+_74120202.23-P1|ACTG2_-_74120192.23-P1	ACTG2	   nan	   nan	   nan
ACTG2_+_74128454.23-P2|ACTG2_+_74128598.23-P2	ACTG2	   nan	   nan	   nan
ACTL10_+_32254796.23-P1P2|ACTL10_-_32254768.23-P1P2	ACTL10	   nan	   nan	   nan
ACTL6A_-_179280784.23-P1P2|ACTL6A_+_179280755.23-P1P2	ACTL6A	   nan	   nan	   nan
ACTL6B_+_100253966.23-P1P2|ACTL6B_+_100253969.23-P1P2	ACTL6B	   nan	   nan	   nan
ACTL7A_-_111624608.23-P1P2|ACTL7A_-_111624563.23-P1P2	ACTL7A	   nan	   nan	   nan
ACTL7B_-_111618185.23-P1P2|ACTL7B_+_111618198.23-P1P2	ACTL7B	   nan	   nan	   nan
ACTL8_-_18081836.23-P1P2|ACTL8_+_18081845.23-P1P2	ACTL8	   nan	   nan	   nan
ACTL9_-_8809073.23-P1P2|ACTL9_+_8808881.23-P1P2	ACTL9	   nan	   nan	   nan
ACTN1_-_69445956.23-P1P2|ACTN1_-_69445944.23-P1P2	ACTN1	   nan	   nan	   nan
ACTN2_+_236849841.23-P1P2|ACTN2_+_236849796.23-P1P2	ACTN2	   nan	   nan	   nan
ACTN3_-_66314441.23-P1P2|ACTN3_+_66313715.23-P1P2	ACTN3	   nan	   nan	   nan
ACTN4_-_39138358.23-P1P2|ACTN4_-_39138303.23-P1P2	ACTN4	   nan	   nan	   nan
ACTR10_+_58666892.23-P1P2|ACTR10_+_58666925.23-P1P2	ACTR10	   nan	   nan	   nan
ACTR1A_+_104262452.23-P1P2|ACTR1A_+_104262449.23-P1P2	ACTR1A	   nan	   nan	   nan
ACTR1B_-_98280407.23-P1P2|ACTR1B_+_98280464.23-P1P2	ACTR1B	   nan	   nan	   nan
ACTR2_-_65454971.23-P1P2|ACTR2_-_65454953.23-P1P2	ACTR2	   nan	   nan	   nan
ACTR3B_-_152456898.23-P1P2|ACTR3B_-_152456932.23-P1P2	ACTR3B	   nan	   nan	   nan
ACTR3C_+_150020638.23-P1P2|ACTR3C_+_150020641.23-P1P2	ACTR3C	   nan	   nan	   nan
ACTR3_+_114648069.23-P1P2|ACTR3_+_114648124.23-P1P2	ACTR3	   nan	   nan	   nan
ACTR5_-_37377178.23-P1P2|ACTR5_+_37377152.23-P1P2	ACTR5	   nan	   nan	   nan
ACTR6_-_100594606.23-P1P2|ACTR6_-_100594617.23-P1P2	ACTR6	   nan	   nan	   nan
ACTR8_+_53916142.23-P1P2|ACTR8_+_53916157.23-P1P2	ACTR8	   nan	   nan	   nan
ACTRT1_+_127186306.23-P1P2|ACTRT1_+_127186328.23-P1P2	ACTRT1	   nan	   nan	   nan
ACTRT2_-_2938118.23-P1P2|ACTRT2_+_2938135.23-P1P2	ACTRT2	   nan	   nan	   nan
