gRNA	gene	S1	S2	S3
ABR_+_1083212.23-P1P2|ABR_+_1082862.23-P1P2	ABR	1.929196e+00	1.147487e+00	4.698429e-01
ABT1_-_26597263.23-P1P2|ABT1_+_26597412.23-P1P2	ABT1	-4.655785e-01	2.955223e-01	4.699425e-01
ABTB1_+_127391828.23-P1P2|ABTB1_+_127391831.23-P1P2	ABTB1	1.845276e-01	4.787858e-01	3.292875e-01
ABTB2_-_34379521.23-P1P2|ABTB2_-_34379465.23-P1P2	ABTB2	5.617497e-01	1.528201e-01	3.824673e-01
ACAA1_-_38178575.23-P1P2|ACAA1_+_38178488.23-P1P2	ACAA1	-9.027840e-01	-7.601627e-01	-6.774441e-01
ACAA2_-_47339855.23-P1P2|ACAA2_-_47339858.23-P1P2	ACAA2	2.302678e-01	3.926131e-02	-8.785078e-03
ACACA_-_35716041.23-P1P2|ACACA_-_35716002.23-P1P2	ACACA	6.186017e-01	-2.288933e-02	1.894812e+00
ACACB_+_109569170.23-P1|ACACB_+_109569160.23-P1	ACACB	-8.132898e-02	8.773972e-01	5.513948e-02
ACACB_-_109592519.23-P2|ACACB_-_109592496.23-P2	ACACB	-1.098683e+00	-3.397453e-01	3.234963e-01
ACAD10_-_112123907.23-P1P2|ACAD10_-_112123894.23-P1P2	ACAD10	1.718712e-01	7.037251e-01	1.846589e-01
ACAD11_+_132379379.23-P1P2|ACAD11_-_132379444.23-P1P2	ACAD11	1.473735e+00	1.245481e+00	4.035112e-01
ACAD8_-_134123507.23-P1P2|ACAD8_-_134123448.23-P1P2	ACAD8	4.993951e-02	-4.673232e-01	-4.241787e-01
ACAD9_-_128598508.23-P1P2|ACAD9_-_128598499.23-P1P2	ACAD9	-4.387711e-01	2.899044e-01	6.405762e-01
ACADL_-_211090095.23-P1P2|ACADL_-_211090048.23-P1P2	ACADL	-5.750557e-01	-5.017647e-01	-6.427919e-01
ACADM_-_76190475.23-P1P2|ACADM_+_76190432.23-P1P2	ACADM	5.083620e-01	6.869957e-01	1.151630e-01
ACADSB_-_124768552.23-P1P2|ACADSB_+_124768710.23-P1P2	ACADSB	-1.797072e-01	3.337215e-01	-3.674814e-01
ACADS_-_121163671.23-P1P2|ACADS_+_121163685.23-P1P2	ACADS	1.218791e-02	3.370460e-01	-1.336593e-01
ACADVL_-_7123283.23-P1P2|ACADVL_-_7123242.23-P1P2	ACADVL	3.386888e-01	-1.013679e-01	1.061167e-01
ACAN_-_89346701.23-P1P2|ACAN_+_89346671.23-P1P2	ACAN	-5.694694e-01	-9.223086e-01	-6.026806e-01
ACAP1_+_7239854.23-P1P2|ACAP1_+_7239956.23-P1P2	ACAP1	-1.459376e+00	-3.058016e+00	2.685417e-01
ACAP2_+_195163707.23-P1P2|ACAP2_+_195163701.23-P1P2	ACAP2	1.947697e-01	-6.765684e-02	2.139520e+00
ACAP3_+_1243258.23-P1P2|ACAP3_+_1243337.23-P1P2	ACAP3	5.793693e-01	5.680336e-01	3.410946e-01
ACAT1_+_107992310.23-P1P2|ACAT1_+_107992321.23-P1P2	ACAT1	-1.959712e-01	-1.615055e-02	8.212803e-02
ACAT2_-_160183054.23-P1P2|ACAT2_-_160183042.23-P1P2	ACAT2	9.467451e-01	3.132504e-01	3.104171e-01
ACBD3_-_226374411.23-P1P2|ACBD3_+_226374366.23-P1P2	ACBD3	7.920158e-01	4.810146e-01	3.187797e-01
ACBD4_+_43210042.23-P2|ACBD4_+_43210060.23-P2	ACBD4	-6.409050e-01	-2.849766e-01	-1.219667e-01
ACBD4_-_43213072.23-P1|ACBD4_-_43213050.23-P1	ACBD4	3.670623e-01	7.595293e-01	2.717695e-02
ACBD5_+_27529701.23-P1P2|ACBD5_+_27529710.23-P1P2	ACBD5	-6.589056e-02	-4.199242e-01	-2.208828e-02
ACBD6_+_180471319.23-P1P2|ACBD6_+_180471354.23-P1P2	ACBD6	-8.635965e-01	-3.296960e-01	-7.153523e-01
ACBD7_+_15130776.23-P1P2|ACBD7_+_15130765.23-P1P2	ACBD7	-2.543925e+00	-2.288038e+00	-2.487326e-01
ACCSL_-_44069582.23-ENST00000378832.1|ACCSL_+_44069616.23-ENST00000378832.1	ACCSL	-6.399620e-03	-1.094810e+00	-5.467658e-02
ACCS_+_44088091.23-P1P2|ACCS_-_44088090.23-P1P2	ACCS	8.716059e-02	5.743485e-01	-1.054665e+00
ACD_-_67694143.23-P1P2|ACD_+_67694124.23-P1P2	ACD	1.059025e+00	9.912503e-01	-5.278618e-01
